Inflows  (m3/s),Inflows Tributary (m3/s),Inflows Tributary (m3/s)
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	77.18312051	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	230	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	10
	200	,	80	,	9.579643358
	200	,	80	,	9.613449683
	200	,	70.07263474	,	9.975940865
	200	,	69.8894045	,	10.16015384
	200	,	69.72792388	,	10.03229489
	200	,	69.7572579	,	10.2566661
	200	,	69.84627948	,	9.664140885
	200	,	69.83009884	,	9.6556965
	200	,	70.08483764	,	9.76540309
	200	,	69.98622437	,	9.617947994
	200	,	70.49690267	,	10.15041801
	200	,	70.28303638	,	9.874616543
	200	,	70.07317508	,	9.613769455
	200	,	69.70705152	,	9.647422709
	200	,	70	,	9.647422709
	200	,	70	,	9.681049
	200	,	70	,	9.692251788
	200	,	70.22988228	,	10.44189364
	200	,	69.56921307	,	9.929760325
	200	,	70	,	10
	200	,	70	,	10
	200	,	70	,	10
	200	,	70	,	10
	200	,	70	,	10
	200	,	70	,	10
	200	,	70	,	10